year,doy,doy_cont,time,Mdate,dnr,dng,dnb,dnr_sd,dng_sd,dnb_sd,gcc
2020,269,269,1000,707119,153.659,134.576,89.466,18.3509,18.0234,14.303,0.356303002
2020,269,269,1030,707119,150.706,134.068,93.2935,18.8638,18.5106,14.8881,0.354613925
2020,269,269,1100,707119,150.783,132.771,91.4762,19.4448,19.1746,15.0738,0.354027489
2020,269,269,1130,707119,152.873,132.753,88.482,19.5231,19.2381,14.8887,0.354852075
2020,269,269,1200,707119,151.322,130.551,85.2534,20.6038,20.179,15.5049,0.355602321
2020,269,269,1300,707119,155.365,130.664,80.2746,22.0733,21.7138,16.0529,0.356709571
2020,269,269,1330,707119,149.843,127.804,82.3469,23.35,22.5811,17.0872,0.355017127
2020,269,269,1400,707119,142.027,124.734,89.4262,24.2532,23.1509,18.123,0.350192258
2020,269,269,1430,707119,140.838,123.301,87.0915,25.5053,24.1915,18.8121,0.351054365
2020,269,269,1500,707119,139.702,119.861,80.2565,27.0051,25.194,18.7394,0.352719606
2020,269,269,1530,707119,139.415,117.084,74.2216,28.631,26.278,18.644,0.354026934
2020,270,270,900,707119,163.47,136.488,78.9109,23.0484,21.6776,14.8256,0.360251264
2020,270,270,930,707119,161.142,136.789,84.8978,18.1594,18.3374,13.9212,0.357311153
2020,270,270,1030,707119,163.378,134.786,79.4414,18.8099,19.1676,14.0986,0.356949344
2020,270,270,1130,707119,153.242,129.188,90.1924,20.4217,19.9673,15.6219,0.346699501
2020,270,270,1200,707119,152.236,127.379,87.9791,21.0918,20.4818,15.9677,0.346520796
2020,270,270,1230,707119,143.899,125.253,94.6544,21.6932,20.8412,16.9607,0.344284762
2020,270,270,1300,707119,143.358,123.22,89.9965,21.9027,20.7944,16.3778,0.345565934
2020,270,270,1330,707119,144.248,123.844,86.7206,23.1707,22.0194,17.0338,0.349040592
2020,270,270,1400,707119,141.16,119.773,83.9652,24.1723,22.6444,17.4281,0.347270586
2020,270,270,1430,707119,137.197,116.69,81.1609,24.7437,23.006,17.2865,0.34827856
2020,270,270,1500,707119,128.045,111.046,83.2461,25.6579,23.4987,18.302,0.344502696
2020,271,271,900,707119,154.395,136.985,95.6182,24.677,23.1743,17.6585,0.353968055
2020,271,271,930,707119,162.257,138.771,82.9897,18.5114,18.8517,14.2156,0.361366156
2020,271,271,1030,707119,159.92,135.315,79.497,19.4921,19.6035,14.391,0.361098065
2020,268,268,1430,704953,132.369,123.672,105.097,26.6515,25.9917,22.7695,0.342450808
2020,268,268,1530,704953,131.65,120.992,100.467,27.216,25.8947,21.6729,0.342647738
