year,doy,time,Mdate,dnr,dng,dnb,dnr_sd,dng_sd,dnb_sd,gcc
2020,260,930,54194,105.127,92.1437,57.7804,11.846,9.95485,10.353,0.361275446371335
2020,260,1300,54194,119.283,101.96,49.9639,13.2749,11.7178,10.0378,0.375949136987296
2020,260,1330,54194,122.03,102.141,46.4114,13.7959,12.0682,10.2968,0.377485749257897
2020,260,1400,54194,118.215,98.8692,48.6541,13.3214,11.7826,10.4674,0.372054762147572
2020,260,1430,54194,118.245,98.6649,48.867,13.4391,11.7627,10.123,0.371232037095775
2020,260,1500,54194,117.77,95.9462,44.5626,13.6879,11.5972,9.47657,0.371483064037776
2020,260,1530,54194,110.769,92.2589,48.4248,13.7552,11.5955,9.95307,0.366903596580987
2020,261,900,54194,127.275,97.4369,42.8808,14.4737,10.5942,7.87195,0.36412390920978
2020,261,930,54194,123.879,98.2226,42.8684,14.2381,10.5334,8.16707,0.370693286032381
2020,261,1000,54194,138.01,110.985,55.9066,27.5247,22.3539,18.7244,0.364002681520858
2020,261,1030,54194,129.543,106.123,49.545,20.2337,16.9206,14.8325,0.372085929364576
